"code","name","city","country","latitude","longitude","icao","type"
"BYI","Burley Municipal Airport","Burley","US","42.54259872A","-113.77200317X","KBYI","medium_airport"
"MKN","Malekolon Airport","Babase Island","PG","-402343056","15365727778","AYMV","small_airport"
"SEYVZ","Kruger Mpumalanga International Airport","Mpumalanga","ZA","-25.38319969","31.10560036","FAKN","medium_airport"
"FGZBQ","San Luis County Regional Airport","San Luis Obispo","US","35.23680115","-120.64199829","KSBP","medium_airport"
"AYQ","Ayers Rock Connellan Airport","Yulara","AU","-25185913","13097703","YAYE","medium_airport"
"DAAMJ","Tours Val de Loire Airport","Tours, Indre-et-Loire","FR","47.432201","0.727606","LFOT","medium_airport"
" TAA ","Pedernales Airport","Capure","VE","9.978672","-62.231318","SVPE","small_airport"
"QYZHH","Sydney Kingsford Smith International Airport","Sydney (Mascot)","AU","-33.946098","151.177002","YSSY","large_airport"
"AS GQ","Defiance Memorial Airport","Defiance","US","41.33750153","-84.42880249","KDFI","small_airport"
"EDK","Captain Jack Thomas El Dorado Airport","El Dorado","US","37.77410126A","-96.81759644X","KEQA","small_airport"
"TFHSM","Dnipro International Airport","Dnipro","UA","48.357201","35.100601","UKDD","medium_airport"
"CMG","Corumbá International Airport","Corumbá","BR","-19.01193","-57.672772","SBCR","very_small_airport"
"RFWYR","Graz Airport","Feldkirchen bei Graz","AT","46.9911","15.4396","LOWG","medium_airport"
"GNJ","Ganja International Airport","Ganja","AZ","40.738935","46.320067","UBBG","private_airport"
"MIW","Marshalltown Municipal Airport","Marshalltown","US","42.112701","-92.917801","KMIW","very_small_airport"
"OKA","Naha Airport / JASDF Naha Air Base","Naha","JP","26195801","127646004","ROAH","large_airport"
"UVE","Ouvéa Airport","Ouvéa","NC","-20640932","166573024","NWWV","medium_airport"
"IMWXC","Huntsville International Carl T Jones Field","Huntsville","US","34.637199","-86.775101","KHSV","medium_airport"
"KAV","Kavanayen Airport","Kavanayén","VE","5.593056B","-61.763333Z","SVKA","small_airport"
"LBY","La Baule-Escoublac Airport","La Baule-Escoublac","FR","47289398","-234639","LFRE","medium_airport"
"MUL","Spence Airport","Moultrie","US","31.141569","-83.703718","KMUL","smallest_airport"
"EPRII","Northern Peninsula Airport","Bamaga","AU","-10.946194","142.455081","YNPE","small_airport"
"AJNHE","Suavanao Airport","Suavanao","SB","-7.58556","158.731003","AGGV","small_airport"
"TRJ","Tarakbits Airport","Tarakbits","PG","-5.614C","141.0421Z","AYTT","small_airport"
"SLR","Sulphur Springs Municipal Airport","Sulphur Springs","US","33.15980148","-95.62110138","KSLR","private_airport"
"SBS","Steamboat Springs Bob Adams Field","Steamboat Springs","US","40.5163002","-106.8659973","KSBS","very_small_airport"
"OBX","Obo Airport","Obo","PG","-7.59062242","141.32426262","AYOB","smallest_airport"
"APL","Nampula Airport","Nampula","MZ","-15.10560036","39.28179932","FQNP","private_airport"
"RBD","Dallas Executive Airport","Dallas","US","32.68090057","-96.86820221","KRBD","smallest_airport"
"HCBCG","Tribhuvan International Airport","Kathmandu","NP","27.6966","85.3591","VNKT","large_airport"
"FIL","Fillmore Municipal Airport","Fillmore","US","38.95830154A","-112.362999X","KFOM","small_airport"
"OLD","Dewitt Field - Old Town Municipal Airport","Old Town","US","44952801","-68674301","KOLD","small_airport"
"SPBH ","Kerikeri Airport","Kerikeri","NZ","-35.259148","173.913317","NZKK","medium_airport"
"DIU","Diu Airport","Diu","IN","20.714185","70.921855","VADU","very_small_airport"
"TKB","Tekadu Airport","Tekadu","PG","-76808","1465503","AYTZ","small_airport"
"VMG A","Murtala Muhammed International Airport","Lagos","NG","6.57737","3.32116","DNMM","large_airport"
"MFK","Matsu Beigan Airport","Matsu (Beigan)","TW","26224199","120002998","RCMT","medium_airport"
"HUMPB","Ambohibary Airport","Moramanga","MG","-18.9175","48.21819444","FMFE","small_airport"
"ZPLUK","LNG Badak Airport","Bontang-Borneo Island","ID","0.121656","117.476558","WALC","small_airport"
"WNH","Wenshan Puzhehei Airport","Wenshan","CN","23.5583","104.3255","ZPWS","very_small_airport"
"YUSTC","Yoron Airport","Yoron","JP","27.043847","128.401648","RORY","medium_airport"
"OBE","Okeechobee County Airport","Okeechobee","US","2726280022","-8084980011","KOBE","small_airport"
"KLC","Kaolack Airport","Kaolack","SN","14.14690018","-16.05130005","GOOK","private_airport"
"WOW","Willow Airport","Willow","US","61.7542","-150.052002","PAUO","private_airport"
"HDG","Handan Airport","Handan","CN","36.525833","114.425556","ZBHD","private_airport"
"IEG","Zielona Góra-Babimost Airport","Nowe Kramsko","PL","52.1385","15.7986","EPZG","very_small_airport"
"NTL","Newcastle Airport","Williamtown","AU","-32.79499817","151.83399963","YWLM","smallest_airport"
"RFFBW","Perth/Scone Airport","Perth","GB","56.439201","-3.37222","EGPT","small_airport"
"BSG","Bata Airport","Bata","GQ","1.90547C","9.80568Y","FGBT","medium_airport"
"BJV","Milas Bodrum International Airport","Bodrum","TR","37250599","27664301","LTFE","large_airport"
"PQQ","Port Macquarie Airport","Port Macquarie","AU","-31.43580055","152.86300659","YPMQ","private_airport"
"FEMOV","Fukue Airport","Goto","JP","32.666302","128.832993","RJFE","medium_airport"
"MRM","Manari Airport","Manari","PG","-91908","1476219","AYMA","small_airport"
"CGHO ","French Lick Municipal Airport","French Lick","US","38.50619888","-86.63690186","KFRH","small_airport"
"EAJJC","Laguindingan International Airport","Laguindingan","PH","8.612203","124.456496","RPMY","medium_airport"
"CKG","Chongqing Jiangbei International Airport","Chongqing","CN","29.712254","106.651895","ZUCK","private_airport"
"KNE","Kanainj Airport","Kanainj","PG","-5.2903A","144.7072Y","AYKJ","small_airport"
"CCJSC","San Bernardino International Airport","San Bernardino","US","34.095402","-117.235001","KSBD","medium_airport"
"CGO","Zhengzhou Xinzheng International Airport","Zhengzhou","CN","34.526497","113.849165","ZHCC","smallest_airport"
"RQCJL","Hana Airport","Hana","US","20.795601","-156.014008","PHHN","medium_airport"
"KCM","Kahramanmaraş Airport","Kahramanmaraş","TR","3753882599","3695352173","LTCN","medium_airport"
"WZA","Wa Airport","Wa","GH","100827","-250769","DGLW","small_airport"
"ILY","Islay Airport","Isle of Islay, Argyll and Bute","GB","55682708","-6257525","EGPI","medium_airport"
"HBQ","Haibei Qilian Airport","Haibei (Qilian)","CN","38.008068B","100.645065Z","ZLHB","small_airport"
"ACC","Kotoka International Airport","Accra","GH","5.6051898","-0.166786","DGAA","private_airport"
"UUD","Baikal International Airport","Ulan Ude","RU","51.808614","107.439652","UIUU","very_small_airport"
"LGEJJ","Ban Huoeisay Airport","Huay Xai","LA","20.257299","100.436996","VLHS","small_airport"
"AMN","Gratiot Community Airport","Alma","US","43.32210159","-84.68800354","KAMN","very_small_airport"
"GQOWR","Bahawalpur Airport","Bahawalpur","PK","29.34810066","71.71800232","OPBW","medium_airport"
"MFC","Mafeteng Airport","Mafeteng","LS","-29.8011B","27.243601Y","FXMF","small_airport"
"ZQN","Queenstown International Airport","Queenstown","NZ","-45.021099A","168.738998X","NZQN","medium_airport"
"YXJ","Fort St John / North Peace Regional Airport","Fort Saint John","CA","56.238098B","-120.739998Z","CYXJ","medium_airport"
"HJB","Hejing Bayinbuluke Airport","Hejing","CN","42.976395","83.995543","ZWHJ","smallest_airport"
"KUE","Kukudu Airport","Kolombangara Island","SB","-80262","15694783","AGKU","small_airport"
"DHN","Dothan Regional Airport","Dothan","US","31.32130051B","-85.44960022Y","KDHN","medium_airport"
"WOKEL","Sacheon Airport / Sacheon Air Base","Sacheon","KR","35.088591","128.071747","RKPS","medium_airport"
"IDP","Independence Municipal Airport","Independence","US","37.15840149","-95.77839661","KIDP","very_small_airport"
"ULA","Capitan D Daniel Vazquez Airport","San Julian","AR","-49.306816","-67.802596","SAWJ","smallest_airport"
"BHF","Cupica Airport","Bahía Solano","CO","6.694817","-77.493643","SKCP","private_airport"
"XMG","Mahendranagar Airport","Mahendranagar","NP","28.9632","80.147903","VNMN","very_small_airport"
"YST","St. Theresa Point Airport","St. Theresa Point","CA","53.845261","-94.851966","CYST","smallest_airport"
"UNE","Qacha's Nek Airport","Qacha's Nek","LS","-30.1117A","28.6719X","FXQN","small_airport"
"ERI","Erie International Tom Ridge Field","Erie","US","42.083127","-80.173867","KERI","very_small_airport"
"KIJ","Niigata Airport","Niigata","JP","3795589828","1391210022","RJSN","medium_airport"
"PRD","Pardoo Airport","Pardoo","AU","-20.119428","119.571945","YPDO","very_small_airport"
"JAX","Jacksonville International Airport","Jacksonville","US","30.492469","-81.687813","KJAX","private_airport"
"THD","Tho Xuan Airport","Thanh Hóa","VN","19.901667","105.467778","VVTX","very_small_airport"
"VGYLG","Spirit of St Louis Airport","St Louis","US","38.662102","-90.652","KSUS","medium_airport"
"UGWFY","Yasuj Airport","Yasuj","IR","30.702238","51.542988","OISY","medium_airport"
"ERGMO","Rotterdam The Hague Airport","Rotterdam","NL","51.956902","4.43722","EHRD","medium_airport"
"IHC","Inhaca Airport","Inhaca","MZ","-259971447","3292935181","FQIA","small_airport"
"HME","Hassi Messaoud-Oued Irara Krim Belkacem Airport","Hassi Messaoud","DZ","31.673","6.14044","DAUH","smallest_airport"
"KTT","Kittilä Airport","Kittilä","FI","67.7009964","24.84679985","EFKT","very_small_airport"
"FSRAA","Des Moines International Airport","Des Moines","US","41.534","-93.663101","KDSM","medium_airport"
"KA UW","Miyazaki Airport","Miyazaki","JP","31.87719917","131.44900513","RJFM","medium_airport"
"NMQ A","Felker Army Air Field","Newport News (Fort Eustis)","US","37.1325","-76.608803","KFAF","medium_airport"
"MBS","MBS International Airport","Freeland","US","43531913","-84082275","KMBS","medium_airport"
"NJC","Nizhnevartovsk Airport","Nizhnevartovsk","RU","60.949299C","76.483597Z","USNN","medium_airport"
"NAS","Lynden Pindling International Airport","Nassau","BS","25.039","-77.466202","MYNN","very_small_airport"
"VHC","Saurimo Airport","Saurimo","AO","-9.68907C","20.4319Y","FNSA","medium_airport"
"ALJ","Alexander Bay Airport","Alexander Bay","ZA","-28.575001","16.5333","FAAB","smallest_airport"
"SMO","Santa Monica Municipal Airport","Santa Monica","US","34.0158","-118.450996","KSMO","smallest_airport"
"UMY","Sumy Airport","Sumy","UA","50858299","34762501","UKHS","small_airport"
"BJC","Rocky Mountain Metropolitan Airport","Denver","US","39908798","-105116997","KBJC","medium_airport"
"ADW","Joint Base Andrews","Camp Springs","US","38810799","-76866997","KADW","large_airport"
"IBO","Ibo Airport","Ibo","MZ","-12.350174","40.602297","FQIB","very_small_airport"
"ATA","Comandante FAP German Arias Graziani Airport","Anta","PE","-934743977","-775983963","SPHZ","medium_airport"
"HJJ","Huaihua Zhijiang Airport","Huaihua","CN","27.443087C","109.704666Y","ZGCJ","medium_airport"
"ABF","Abaiang Airport","Abaiang","KI","1.79861C","173.041X","NGAB","small_airport"
"GLZ","Gilze Rijen Air Base","Rijen","NL","51.567402","4.93183","EHGR","very_small_airport"
"THM","Thompson Falls Airport","Thompson Falls","US","47.57350159","-115.28099823","KTHM","very_small_airport"
"MYJJU","Morondava Airport","Morondava","MG","-20.2847","44.3176","FMMV","medium_airport"
"WXRZB","Laurinburg Maxton Airport","Maxton","US","34.791901","-79.365799","KMEB","small_airport"
"MSH","RAFO Masirah","Masirah","OM","206754","58890499","OOMA","medium_airport"
"JCM","Jacobina Airport","Jacobina","BR","-111632","-40553101","SNJB","small_airport"
"SRCZS","New Halfa Airport","New Halfa","SD","15.3556","35.727798","HSNW","small_airport"
"YRM","Rocky Mountain House Airport","Rocky Mountain House","CA","5242969894","-11490399933","CYRM","small_airport"
"EML","Emmen Air Base","Emmen","CH","47.092444","8.305184","LSME","smallest_airport"
"UBT","Ubatuba Gastão Madeira State Airport","Ubatuba","BR","-23.441122","-45.075814","SDUB","smallest_airport"
"CAB","Cabinda Airport","Cabinda","AO","-559699011","1218840027","FNCA","medium_airport"
"FBE","Paulo Abdala Airport","Francisco Beltrão","BR","-26.05938","-53.063827","SSFB","smallest_airport"
"IWA","Ivanovo South Airport","Ivanovo","RU","5693939972","4094079971","UUBI","medium_airport"
"TRS","Trieste–Friuli Venezia Giulia Airport","Ronchi dei Legionari (GO)","IT","45.827499","13.4722","LIPQ","smallest_airport"
"BNN","Brønnøysund Airport, Brønnøy","Brønnøy","NO","65461098","122175","ENBN","medium_airport"
"WRZ","Weerawila Airport","Weerawila","LK","6.25449","81.235199","VCCW","very_small_airport"
"HAD","Halmstad Airport","Halmstad","SE","56.69110107","12.82019997","ESMT","smallest_airport"
"HIB","Range Regional Airport","Hibbing","US","47.384831","-92.836905","KHIB","smallest_airport"
"TCN","Tehuacán National Airport","Tehuacán","MX","18.49722B","-97.42011Z","MMHC","small_airport"
"ZBZPP","Tofino / Long Beach Airport","Tofino","CA","49.079833","-125.775583","CYAZ","medium_airport"
"OMI","Omidiyeh Airport","Omidiyeh","IR","30.835199A","49.534901X","OIAJ","small_airport"
"KKN","Kirkenes Airport, Høybuktmoen","Kirkenes","NO","69.7258","29.8913","ENKR","private_airport"
"YKM","Yakima Air Terminal McAllister Field","Yakima","US","4656819916","-1205439987","KYKM","medium_airport"
"AFN","Jaffrey Airfield Silver Ranch Airport","Jaffrey","US","42.805099B","-72.002998Y","KAFN","small_airport"
"ONGJJ","Pathankot Airport","Pathankot","IN","32.233611","75.634444","VIPK","medium_airport"
"YVNEW","Laval-Entrammes Airport","Laval, Mayenne","FR","48.032208","-0.743999","LFOV","medium_airport"
"TUL","Tulsa International Airport","Tulsa","US","36.19839859","-95.88809967","KTUL","private_airport"
"FPVGX","Hilton Head Airport","Hilton Head Island","US","32.2244","-80.697502","KHXD","medium_airport"
"OZG","Zagora Airport","Zagora","MA","30.263858","-5.853341","GMAZ","private_airport"
"QQAD ","San Fernando de Apure Las Flecheras National Airport","San Fernando de Apure","VE","7.88332","-67.444","SVSR","medium_airport"
"RIA","Santa Maria Airport","Santa Maria","BR","-29.711399","-53.688202","SBSM","very_small_airport"
"DJGMX","Kramatorsk Airport","Kramatorsk","UA","48.706799","37.630922","UKCK","small_airport"
"MKKGM","Quetzalcóatl International Airport","Nuevo Laredo","MX","27.443899","-99.570503","MMNL","medium_airport"
"PHS","Phitsanulok Airport","Phitsanulok","TH","16.7829B","100.278999Z","VTPP","medium_airport"
"JCH","Qasigiannguit Heliport","Qasigiannguit","GL","68.822816","-51.173447","BGCH","private_airport"
"TPBEI","Crystal Airport","Minneapolis","US","45.062","-93.353897","KMIC","small_airport"
"ITOSM","Cangyuan Washan Airport","Lincang (Cangyuan)","CN","23.276331","99.373169","ZPCW","medium_airport"
"YZG","Salluit Airport","Salluit","CA","62179401","-75667198","CYZG","small_airport"
"MUA","Munda Airport","Munda","SB","-8.32797","157.263","AGGM","smallest_airport"
"LLB","Libo Airport","Qiannan (Libo)","CN","254525","107961667","ZULB","small_airport"
