"identifier","manufacturer","model","year","capacity","range"
"DE-ZJ73C","Airbus","A330-900neo","2020b'\xb9\xc9'","300","13330"
"CA-B0CFR","Airbus","A220-300","316","150","6300"
"TS-F6MLJ","Boeing","767-300ER","844","270","11000"
"PT-XE2TP","Airbus","A340-600","2019b'\x94|'","320","14630"
"VR-NQI43","Boeing","747-8I","537","467","14815"
"DE-DT8R5","ATR","ATR 42-600","2019b'Fo'","48","1300"
"DE-382DK","Boeing","717-200","897","110","3815"
"NS-TKHKW","Airbus","A340-600","2019b'\xab\xe1'","320","14630"
"HA-G23UV","Airbus","A340-300","2019b'\x9a8'","280","13400"
"YU-VUY3D","Airbus","A319","597","140","6900"
"OY-LR86M","Bombardier","CRJ1000","2019b'zy'","104","3200"
"SE-8ZXEE","Boeing","787-9","948","290","14140"
"UR-NDUOJ","Boeing","737-800","2024b'Z\xce'","175","5765"
"OK-ELIVJ","Airbus","A340-300","2017b'\x95\xa8'","280","13400"
"YU-8O9F4","Airbus","A321","2020b'0\x04'","220","5950"
"NS-W5QSE","Airbus","A350-1000","2024b'\x0f\xc1'","360","16100"
"TS-EROQ0","Airbus","A220-300","95 ","150","6300"
"YU-6FE4J","Boeing","777-300ER","87 ","396","13650"
"YU-V4DPR","Airbus","A330-900neo","2024b'1W'","300","13330"
"EC-WQ0HH","Airbus","A340-600","61 ","320","14630"
"PT-X3K2R","Boeing","787-9","2021b'3\xaa'","290","14140"
"XC-I28AX","Airbus","A220-300","156","150","6300"
"HB-TRORY","Embraer","E190-E2","593","114","5300"
"EC-YHC1B","Airbus","A340-600","2021b'\xef\xfd'","320","14630"
"FR-JWO9M","Boeing","737 MAX 8","2020b'F4'","178","6570"
"GB-H9VF5","Bombardier","CRJ700","2024b's\xd7'","70","3700"
"VU-OJX6B","Airbus","A220-100","747","120","6300"
"YU-K449Z","Airbus","A220-300","2017b'#q'","150","6300"
"ZK-PM4ZO","Airbus","A318","798","110","5700"
"IT-I3R87","Bombardier","CRJ200","2021b'I\x88'","50","3100"
"JA-MI1QS","Boeing","787-10","992","330","11910"
"YU-DLZBV","Embraer","E195","2024b'+\xbb'","116","4200"
"EI-H4ZCQ","Airbus","A319","622","140","6900"
"XA-UZWAW","Boeing","777-300ER","2022b'\xf0\x1f'","396","13650"
"9H-MKZF3","Airbus","A220-100","2024b'\x1ea'","120","6300"
"VT-0VVBH","Airbus","A319","2021b'\xa1\xa9'","140","6900"
"VH-HWWF6","Boeing","747-8I","327","467","14815"
"XC-TWJO5","Airbus","A330-200","2020b'>\x14'","260","13450"
"SE-FCK8T","Boeing","737 MAX 8","2020b'\xf75'","178","6570"
"EI-JN76T","Boeing","767-300ER","2017b'G\xb0'","270","11000"
"9H-ZVZTI","Airbus","A350-900","779","300","15000"
"UR-Y9OW1","Airbus","A320","374","180","6150"
"CS-XX9YX","Boeing","777-200ER","761","314","13900"
"OK-SW4KF","Airbus","A330-200","2022b'\xf7\x92'","260","13450"
"GB-BBJ93","Airbus","A220-300","2017b'\xc1u'","150","6300"
"OY-TKUYY","Airbus","A320","2020b'nS'","180","6150"
"VU-PRVC0","Boeing","787-8","2024b'\xc5T'","242","13620"
"OY-A5RWE","Embraer","E175","2019b'\x98\x97'","88","3700"
"CA-ZF2O2","Airbus","A350-1000","473","360","16100"
"OE-VBJVG","Airbus","A350-1000","2018b'\x828'","360","16100"
"HA-4Q8O5","Embraer","E175","2019b'\xd0\xa7'","88","3700"
"YU-L0IYT","Boeing","787-9","2022b'~\xc7'","290","14140"
"HA-NDG0D","Airbus","A330-900neo","2020b'.f'","300","13330"
"HB-0VIMA","Airbus","A321","87 ","220","5950"
"SE-K1QG4","Boeing","747-8I","2020b'\xb1\x14'","467","14815"
"ZS-DSJN7","Boeing","737-800","2017b'\xb4\xa3'","175","5765"
"XC-PL0LT","Boeing","737-800","144","175","5765"
"YU-TLD58","Boeing","757-300"," 14","243","6400"
"VU-NUII0","Airbus","A330-900neo","758","300","13330"
"FR-Z4SDZ","Boeing","767-400ER","442","296","10400"
"SE-BBUGM","Bombardier","CRJ200","851","50","3100"
"XA-DVM9J","Embraer","E195-E2","865","132","4800"
"JA-O09QI","Boeing","757-200","2020b'\x99k'","200","6300"
"XA-VLMS3","Boeing","737 MAX 9","888","193","6570"
"HA-TWAOO","Boeing","757-300","579","243","6400"
"JA-VPO3V","Airbus","A380-800","366","525","15200"
"XC-PV4OT","Airbus","A220-100","185","120","6300"
"VH-RD29C","Bombardier","CRJ200","64 ","50","3100"
"PT-OB0SP","Embraer","E175","427","88","3700"
"YU-IJS3B","Embraer","E170","2023b'H\t'","78","3900"
"FR-6HGC9","Bombardier","CRJ900","2021b'\xb6S'","90","2950"
"VQ-QH5SL","Boeing","757-200","2022b':\xc9'","200","6300"
"XB-PNU9W","Airbus","A350-1000","2017b'\x0f\xce'","360","16100"
"9H-EYACT","Embraer","E195","224","116","4200"
"UR-2MOJ8","Airbus","A350-1000","2019b'\xa8\xe0'","360","16100"
"XC-8J153","ATR","ATR 72-600"," 36","70","1500"
"OE-5GRZR","Airbus","A350-900","155","300","15000"
"SE-3LAJS","Airbus","A350-900","539","300","15000"
"EI-XJFPC","Boeing","777-300ER","2021b'\xa7\x96'","396","13650"
"XU-QY96Q","Airbus","A318","2017b'2\xba'","110","5700"
"OK-AW65C","Airbus","A321","2021b'\xbb\xef'","220","5950"
"GB-J95T9","Airbus","A330-900neo","2024b'\x9e\x94'","300","13330"
"OE-VUN74","Airbus","A319","147","140","6900"
"VQ-9LU8D","Boeing","787-10","  9","330","11910"
"4X-VR81O","Airbus","A220-300","494","150","6300"
"XU-DTBNM","Bombardier","CRJ200","673","50","3100"
"YU-A8UL9","Embraer","E190-E2","877","114","5300"
"OE-WHC0T","Embraer","E190-E2","861","114","5300"
"VT-BMFRH","ATR","ATR 42-600","861","48","1300"
"HB-7HVG0","Airbus","A319","2020b'\xc9i'","140","6900"
"CA-9CGVI","Bombardier","CRJ200","27 ","50","3100"
"VU-9YVFI","Embraer","E195-E2","2021b'\xce\x81'","132","4800"
"FR-2MQ3H","Airbus","A380-800","624","525","15200"
"VT-8IXBZ","Boeing","717-200","2023b'\xc3`'","110","3815"
"YU-GDVZR","Airbus","A340-600"," 24","320","14630"
"VR-WZTES","Boeing","767-300ER","141","270","11000"
"4X-5IN5J","Boeing","767-400ER","2022b'\xe1\x9a'","296","10400"
"ZS-2TK8A","Boeing","777-200ER","181","314","13900"
"XA-1VJW6","Boeing","787-10","1 4","330","11910"
"SE-AR4BP","Airbus","A340-600","2023b'\xf1\x83'","320","14630"
"EC-U88N6","Bombardier","CRJ900","2023b'v\xb0'","90","2950"
"VU-I5MWX","Airbus","A330-300","2023b'i\x1a'","300","11300"
"ZK-5DRBE","Airbus","A220-100","2019b'+\xa6'","120","6300"
"CS-U9909","Bombardier","CRJ200","2017b'\xe5\x93'","50","3100"
"NS-1J6MJ","Airbus","A380-800","57 ","525","15200"
"CA-SZTZP","Bombardier","CRJ900","2024b'\x84q'","90","2950"
"UR-0RI01","Boeing","777-200ER","798","314","13900"
"XB-T7LO1","Boeing","757-200","2021b'L\xbf'","200","6300"
"OE-AV56I","Airbus","A340-300","2021b'\xcaT'","280","13400"
"OY-MRUG3","Airbus","A220-300","2017b'\xa7\x99'","150","6300"
"ZS-GXPP9","Boeing","747-400","236","416","13450"
"PT-2KRQH","Boeing","747-8I","317","467","14815"
"OY-YHSU8","Boeing","787-8","2022b'\x85y'","242","13620"
"SE-QAVHI","Boeing","757-300","291","243","6400"
"XA-PRADE","Boeing","767-400ER","84 ","296","10400"
"YU-UTN54","Bombardier","CRJ1000","2017b'\xea\xa2'","104","3200"
"VR-QEEQL","Boeing","757-300","6 7","243","6400"
"OE-00C8P","Boeing","737 MAX 9","2021b'\xff\x80'","193","6570"
"XU-FWLL6","Airbus","A320","25 ","180","6150"
"9H-MZCIL","Airbus","A350-900","2019b'^7'","300","15000"
"VU-VLVHH","Embraer","E190","2019b'? '","100","4500"
"XB-GZEW4","Bombardier","CRJ1000","998","104","3200"
"XU-QJR50","Boeing","737-700","2024b'%X'","140","6550"
"SE-81HRJ","Airbus","A220-300","2019b'hK'","150","6300"
"UR-1FNZS","Embraer","E175","2021b'd\xfc'","88","3700"
"VQ-YXJ1A","Embraer","E170","2024b'\x9a/'","78","3900"
"XB-37GYU","Boeing","737 MAX 8","476","178","6570"
"CA-2U0IY","Boeing","757-300","742","243","6400"
"TS-YHJP2","Airbus","A330-300","777","300","11300"
"UR-EJ9MF","Boeing","757-300","927","243","6400"
"XB-LBWEO","Boeing","757-200","626","200","6300"
"DE-NAFDX","Airbus","A350-1000","918","360","16100"
"EC-T45M1","Boeing","767-400ER","2019b'\x8c\x1b'","296","10400"
"VT-A3IGN","Boeing","757-200","966","200","6300"
"ZS-TDCDZ","Embraer","E190","2022b'\xe1\xff'","100","4500"
"TS-X0O72","Boeing","787-8","67 ","242","13620"
"OE-IGAOX","Airbus","A220-100","2023b'rA'","120","6300"
"OY-63E1R","Bombardier","CRJ900","2024b';\x0c'","90","2950"
"XU-SG5HF","Airbus","A220-300","2021b'\xebu'","150","6300"
"JA-FKJ8Z","Airbus","A380-800","45 ","525","15200"
"YU-AUD1N","Embraer","E170","389","78","3900"
"4X-EVAJR","Boeing","737 MAX 9","2019b'M\xca'","193","6570"
"IT-L6VDE","Embraer","E175","158","88","3700"
"IT-NABUU","Embraer","E195-E2","667","132","4800"
"FR-FGK9E","Embraer","E190","2021b'QE'","100","4500"
"VU-IK9SS","Boeing","747-400","2020b'\xa5N'","416","13450"
"4X-ABBKD","Boeing","757-200","2020b'r\x93'","200","6300"
"TS-LNHMP","Airbus","A350-900","2018b'+\xc0'","300","15000"
"CA-9LWK7","Boeing","777-300ER","2023b'\x15\x9b'","396","13650"
"XA-LDI60","Bombardier","CRJ200","2018b'\xb1\xb4'","50","3100"
"ZK-H6E1H","Airbus","A350-1000","611","360","16100"
"VT-R0MPY","Embraer","E190","2023b'R\xf0'","100","4500"
"OK-XJ0S3","Embraer","E170","364","78","3900"
"4X-TKSJF","Bombardier","CRJ1000","364","104","3200"
"VH-HBU2C","Boeing","787-10","2022b'\xad\x10'","330","11910"
"PT-JE2K6","Embraer","E190-E2","2021b'\xc26'","114","5300"
"JA-PZNH2","Boeing","737 MAX 9","2018b'\x01\x8a'","193","6570"
"VH-FJO17","Boeing","737 MAX 9","2020b'd\xf9'","193","6570"
"ZS-D6QTX","Boeing","737 MAX 9","847","193","6570"
"VH-RAPNE","Bombardier","CRJ900","2024b'.\xe2'","90","2950"
"OE-P22BL","Airbus","A220-100","315","120","6300"
"CA-50ZYC","Boeing","757-200","2023b'\xe8 '","200","6300"
"OK-CATWT","ATR","ATR 72-600","26 ","70","1500"
"SE-UCCW1","Airbus","A330-200","548","260","13450"
"VU-8QH2U","Bombardier","CRJ700","678","70","3700"
"HB-C355N","Airbus","A321","859","220","5950"
"ZS-YDKUI","Bombardier","CRJ200","2019b""\x81'""","50","3100"
"TS-4HNKU","Boeing","767-400ER","671","296","10400"
"XB-U72YD","Airbus","A320","2017b'I\x10'","180","6150"
"GB-E8CX5","Boeing","787-8","2019b'\xbf\xd6'","242","13620"
"XB-3XCIA","Airbus","A340-300","2023b'\xf7\xfe'","280","13400"
"ZK-G8AWL","Bombardier","CRJ1000","2022b'\x03\xac'","104","3200"
"EI-W9RK7","ATR","ATR 42-600","2018b'\x9f\xe9'","48","1300"
"VQ-2LKBH","Embraer","E195","2021b'\xec\xca'","116","4200"
"VH-N2AQR","Boeing","777-300ER","2018b'\xe5\xa3'","396","13650"
"4X-2XVR9","ATR","ATR 72-600","932","70","1500"
"OK-93LCK","Airbus","A319","266","140","6900"
"XB-YXX4R","Boeing","757-200","328","200","6300"
"VQ-IJ6DR","Airbus","A330-900neo"," 39","300","13330"
"ZK-VKL8V","Airbus","A380-800","2020b'I\xf4'","525","15200"
"HB-9MNAH","Airbus","A340-300","  8","280","13400"
"GB-A3JGU","Airbus","A340-300","1 3","280","13400"
"VH-UAEFK","Boeing","777-200ER","477","314","13900"
"NS-3HA6G","Airbus","A340-300","  8","280","13400"
"XC-YLH29","Bombardier","CRJ200"," 74","50","3100"
"DE-PI50L","Airbus","A220-300","972","150","6300"
"YU-49A7O","Airbus","A350-900","2023b'\x8aw'","300","15000"
"OK-9UA3B","Boeing","787-10","997","330","11910"
"JA-OFQS0","Boeing","737-700","433","140","6550"
"PT-RNTCP","Airbus","A350-900","871","300","15000"
"OE-VN6AI","Airbus","A340-600","718","320","14630"
"XB-HFFNU","Airbus","A320","423","180","6150"
"XA-SO3M2","Boeing","757-300","2023b'\x88\xb2'","243","6400"
"EC-ZVED5","Airbus","A220-300","2018b'\x83['","150","6300"
"OE-ZI2VG","Boeing","777-200ER","2021b'\xe1\xe0'","314","13900"
"GB-SXXAB","Airbus","A340-300","632","280","13400"
"EC-PBMUX","Airbus","A321","2023b'lg'","220","5950"
"SE-3M2HU","Boeing","777-300ER","392","396","13650"
"EC-LZUYM","Boeing","787-9","2017b'Q\x04'","290","14140"
"EI-U2S92","Embraer","E195","2018b'\xbe?'","116","4200"
"OE-1L9HC","Embraer","E190","2024b'\x14\xe9'","100","4500"
"CA-40419","Embraer","E195-E2","2019b'\x8e.'","132","4800"
"JA-1PM0V","Embraer","E190","2021b'\x0b\n'","100","4500"
"VH-IQTWO","Boeing","737 MAX 9","2017b""'E""","193","6570"
"JA-RBFQU","Boeing","777-300ER"," 53","396","13650"
"VQ-E17HF","Airbus","A380-800","2021b'\x8f\xea'","525","15200"
"IT-O8OVT","Boeing","767-300ER","2020b'\x88\x97'","270","11000"
"XA-6JJ8P","Airbus","A330-900neo","117","300","13330"
"VU-C12YW","Airbus","A318","2020b'm\x14'","110","5700"
"VT-M60YA","Airbus","A380-800","2019b'\x95\x0c'","525","15200"
"XA-F06TV","Boeing","767-400ER","2022b'v\xa0'","296","10400"
"DE-K5I8P","Boeing","717-200","315","110","3815"
"YU-SGSZO","ATR","ATR 72-600","8 7","70","1500"
"VT-0TOUS","Airbus","A318","934","110","5700"
"OY-7J8NN","Boeing","767-300ER","1 2","270","11000"
"EC-PCMGX","Embraer","E190","431","100","4500"
"CS-CMP8S","Embraer","E195-E2","2021b'\x99\xe9'","132","4800"
"YU-165CU","Boeing","747-400","2020b'\xcdv'","416","13450"
"PT-ZJKYF","Boeing","787-8","359","242","13620"
"XU-DDCPG","Boeing","767-300ER","588","270","11000"
"PT-PPFR9","Airbus","A220-100"," 96","120","6300"
"XC-J0ZWB","Bombardier","CRJ700","195","70","3700"
"FR-J7J9X","Embraer","E175","26 ","88","3700"
"PT-VQLQT","Airbus","A350-900","2018b'\x7f\x8b'","300","15000"
"XB-XF2R2","ATR","ATR 42-600","584","48","1300"
"YU-VCG88","Boeing","787-8","2021b'\xcb!'","242","13620"
"XC-U1GEW","Boeing","737-700","2024b'\xd6~'","140","6550"
"XA-KVA3V","Embraer","E175","969","88","3700"
"GB-3YNNL","Boeing","737 MAX 8","2023b'\xa01'","178","6570"
"YU-N1UB1","ATR","ATR 42-600","2023b'\xe6W'","48","1300"
"OK-PGKOY","Boeing","777-200ER","926","314","13900"
"FR-HKDWA","Embraer","E175","2020b'\xeeW'","88","3700"
"YU-25PEM","Boeing","747-400","184","416","13450"
"FR-MBORI","Airbus","A350-1000","2017b'\xbeh'","360","16100"
"EC-48C9F","Airbus","A350-900","349","300","15000"
"IT-Q2H98","Bombardier","CRJ700","2021b'`#'","70","3700"
"OK-EYZ6I","Boeing","737 MAX 8","2024b'B\xe8'","178","6570"
"VQ-0WN4X","Airbus","A330-300","2018b'\xac\xee'","300","11300"
"PT-0GOYA","Airbus","A330-300","2021b'\xeb\xaa'","300","11300"
"IT-5Y5ZB","Bombardier","CRJ200","2018b'(\xac'","50","3100"
"HA-VPFQZ","Airbus","A330-200","2018b'H_'","260","13450"
"VR-V81PS","Boeing","747-8I","2020b'\x9dN'","467","14815"
"ZS-CGEE3","Embraer","E195-E2","857","132","4800"
"VQ-JUOLX","Boeing","747-400","662","416","13450"
"ZK-O1MJF","Bombardier","CRJ900","2023b'\xe3\xcb'","90","2950"
"EC-193V2","Embraer","E170"," 88","78","3900"
"9H-1GDPD","Bombardier","CRJ1000","619","104","3200"
"SE-6NI98","ATR","ATR 42-600","8 3","48","1300"
"OK-BPR87","Airbus","A340-300","1 9","280","13400"
"4X-D3NUL","Boeing","757-200"," 88","200","6300"
"ZK-6FOU8","Embraer","E195","2017b'=\x1a'","116","4200"
"TS-KDUXT","Airbus","A340-300","2018b'\xd8\xfb'","280","13400"
"VH-I8OGG","Boeing","757-300","892","243","6400"
"4X-GICZ2","Boeing","787-10","2024b'\xf6\xa6'","330","11910"
"CS-SC40U","Boeing","737 MAX 8","9 9","178","6570"
"VH-U4S18","Bombardier","CRJ900","2020b'[\xf4'","90","2950"
"SE-6TJ29","Boeing","747-400","827","416","13450"
"ZS-JGR8W","Boeing","757-200","335","200","6300"
"PT-D9Q8S","Airbus","A321","193","220","5950"
"YU-VSGSC","Boeing","767-300ER","2018b'BA'","270","11000"
"ZS-08IA7","ATR","ATR 72-600","63 ","70","1500"
"VR-X7H6V","Boeing","757-300"," 84","243","6400"
"TS-M6JM7","Bombardier","CRJ1000","953","104","3200"
"OE-3DJGR","Boeing","767-400ER","2022b'\xb4\xd3'","296","10400"
"FR-7CUKN","Embraer","E190"," 13","100","4500"
"XC-755IH","ATR","ATR 72-600","2024b'\xa6\x16'","70","1500"
"YU-2NE1P","Boeing","737 MAX 9"," 74","193","6570"
"XU-94R6E","Embraer","E195","2022b'\xd5\x93'","116","4200"
"ZS-JOHXG","Airbus","A220-100","2024b'R\xcc'","120","6300"
"DE-6WG7U","Boeing","777-200ER","2017b'\xab6'","314","13900"
"HA-O2F0S","Boeing","717-200","118","110","3815"
"EC-2VEGP","Bombardier","CRJ1000","2022b'\x8c\x91'","104","3200"
"IT-B05M5","Airbus","A318","892","110","5700"
"ZS-9TMJ6","Boeing","757-300","554","243","6400"
"UR-55ZGC","Airbus","A330-200","2018b'|\xf1'","260","13450"
"XB-C15K4","Airbus","A330-300","2021b'D\x95'","300","11300"
"HB-EPAJ3","Airbus","A330-300","2021b'\x08~'","300","11300"
"JA-SN1GB","ATR","ATR 72-600","2023b'\x90['","70","1500"
"JA-YU7XQ","Boeing","737-700","58 ","140","6550"
"CA-2K6AZ","Boeing","737 MAX 9","2017b'y\x11'","193","6570"
"XU-8EXWT","Airbus","A220-300","2022b'\xa3\xab'","150","6300"
"XB-GKIZR","Boeing","737 MAX 9","988","193","6570"
"EC-AZKM5","Embraer","E195-E2","853","132","4800"
"VR-EUYTR","Airbus","A321","2024b'\xfc*'","220","5950"
"OE-7GLBU","Boeing","747-8I","487","467","14815"
"VR-HN2NY","Bombardier","CRJ900","2018b'\xaf\x1f'","90","2950"
"YU-D8DGJ","Airbus","A320","2018b'\xa32'","180","6150"
"OY-QBQFX","Airbus","A330-300","182","300","11300"
"ZS-8DK8Z","Airbus","A350-900","2018b'A0'","300","15000"
"VU-6EHIB","ATR","ATR 72-600","2 4","70","1500"
"ZK-DKSEY","Bombardier","CRJ1000","296","104","3200"
"YU-L2C8D","Embraer","E190","178","100","4500"
"VT-9J85Z","Airbus","A340-600","2021b'\xf2\xe4'","320","14630"
"IT-DSRPF","Airbus","A380-800","2018b'\x95x'","525","15200"
"EC-BVNBX","Embraer","E170","2023b'\x10\xee'","78","3900"
"PT-0IG41","Bombardier","CRJ200","752","50","3100"
"VR-DMDIJ","Airbus","A350-1000","972","360","16100"
"HB-Y2QTG","Boeing","747-8I","2019b'\xc6)'","467","14815"
"EI-MWVJK","Boeing","747-400","2020b'\t('","416","13450"
"XA-IAKUD","Boeing","717-200","2019b'\x17\xd7'","110","3815"
"PT-OO7FQ","Airbus","A340-600","2018b'\xeb\xb5'","320","14630"
"TS-916UA","Boeing","717-200","2022b'\xa4:'","110","3815"
"FR-IH1CO","ATR","ATR 72-600","2017b'1\x86'","70","1500"
"4X-B69K3","Airbus","A220-100"," 98","120","6300"
"VQ-B00U3","Boeing","747-400","2023b'\xd5\x85'","416","13450"
"VH-RYGUD","Airbus","A350-900","2023b'W\xc5'","300","15000"
"VQ-YL558","Boeing","737-700","19 ","140","6550"
"9H-98O04","Airbus","A319","925","140","6900"
"OE-28R0R","Embraer","E195-E2","394","132","4800"
"OY-QQ6H0","Bombardier","CRJ700","2019b'\x95f'","70","3700"
"VR-W8BIR","Bombardier","CRJ200","525","50","3100"
"VQ-1NVCR","Bombardier","CRJ1000","357","104","3200"
"HA-07YCJ","Airbus","A350-1000","2023b'\xb6n'","360","16100"
"IT-U0MEF","Airbus","A340-300","646","280","13400"
"TS-4TV14","Airbus","A350-900","2021b'\x92\xe2'","300","15000"
"ZK-RDM3W","Airbus","A380-800","798","525","15200"
"VU-6LS5F","Embraer","E195","2021b'\x8b\xae'","116","4200"
"YU-TDW8G","Embraer","E195","2017b'\x0e\x0c'","116","4200"
"ZS-N5ZMH","Boeing","737 MAX 9","2022b'39'","193","6570"
"EC-BEYPU","Boeing","777-200ER","432","314","13900"
"OK-7NUZE","ATR","ATR 42-600","2022b'{\x80'","48","1300"
"CS-CNMHF","ATR","ATR 42-600","422","48","1300"
"YU-0PC97","Boeing","767-300ER","  7","270","11000"
"EI-MFMZT","Airbus","A340-300","2022b'\x05r'","280","13400"
"OK-E2W4M","Boeing","737-800","7 2","175","5765"
"SE-MMYQN","Airbus","A319","2019b'\xe0u'","140","6900"
"XC-QDKOC","Boeing","767-400ER","558","296","10400"
"ZS-Z8WAA","Airbus","A318","2019b'\xab\x8a'","110","5700"
"XU-2K5AB","Boeing","717-200","2019b'\x94\x9a'","110","3815"
"9H-PNOTX","Airbus","A330-300","2024b'!~'","300","11300"
"EI-K2WDO","Bombardier","CRJ700","84 ","70","3700"
"VH-K66X0","Boeing","737-700","2022b'\xe6L'","140","6550"
"SE-J78EQ","Boeing","777-200ER","929","314","13900"
"VT-0YDUR","Boeing","757-300","2022b'\xe1\xd8'","243","6400"
"VR-1F3IV","Boeing","737-800","2021b'\\\xc1'","175","5765"
"VH-TE3VV","Airbus","A220-100","2024b'yN'","120","6300"
"FR-WTKMW","Boeing","717-200","278","110","3815"
"SE-VKQL0","Boeing","777-200ER","2022b'v?'","314","13900"
"ZS-YLVY6","Airbus","A330-300","163","300","11300"
"ZS-PFV5J","Boeing","737-700","994","140","6550"
"XB-WGSE0","Airbus","A320","2019b'f\xc2'","180","6150"
"CA-36BVA","Embraer","E170","2020b'\x83\xac'","78","3900"
"YU-4IEEX","Boeing","767-400ER","2017b'\x18\xce'","296","10400"
"VQ-IX7JD","Embraer","E190-E2","2023b'\x15\x9e'","114","5300"
"OE-GJGBD","Boeing","747-8I","498","467","14815"
"UR-KZWHS","Boeing","787-8","762","242","13620"
"XB-YHV9X","Embraer","E195","2017b']\xb3'","116","4200"
"XU-J5YUC","Bombardier","CRJ200","77 ","50","3100"
"HA-Y0P8B","Bombardier","CRJ200","2020b'\xcfH'","50","3100"
"VQ-FMSQT","Airbus","A350-1000","194","360","16100"
"4X-KD8TF","ATR","ATR 42-600","2020b'?7'","48","1300"
"YU-H0XUB","Bombardier","CRJ900","2018b'\xd3c'","90","2950"
